url;brandName;title;src;path;brandFormatted;modelFull;modelFormatted;year
https://www.leparking-moto.fr/moto-occasion/.html#!/moto-occasion/triumph.html;triumph;TRIUMPH STREET TWIN ;https://scalethumb.leparking.fr/unsafe/331x248/smart/https://cloud.leparking-moto.fr/2021/10/29/19/02/triumph-street-twin-triumph-street-twin-2016-gris_159978135.jpg;.\images\triumph\street twin\triumph-street-twin-triumph-street-twin-2016-gris_159978135.jpg;Triumph;street twin;street twin;2016
https://www.leparking-moto.fr/moto-occasion/.html#!/moto-occasion/triumph.html;triumph;TRIUMPH TIGER TIGER EXPLORER;https://scalethumb.leparking.fr/unsafe/331x248/smart/https://cloud.leparking-moto.fr/2021/10/16/22/13/triumph-tiger-triumph-tiger-1200-xca-blanc_159212006.jpg;.\images\triumph\tiger explorer\triumph-tiger-triumph-tiger-1200-xca-blanc_159212006.jpg;Triumph;tiger explorer;tiger explorer;2019
https://www.leparking-moto.fr/moto-occasion/.html#!/moto-occasion/triumph.html;triumph;TRIUMPH BONNEVILLE BONNEVILLE AMERICA;https://scalethumb.leparking.fr/unsafe/331x248/smart/https://cloud.leparking-moto.fr/2021/09/29/16/31/triumph-bonneville-865_158348019.jpg;.\images\triumph\bonneville america\triumph-bonneville-865_158348019.jpg;Triumph;bonneville america;bonneville america;2007
https://www.leparking-moto.fr/moto-occasion/.html#!/moto-occasion/triumph.html;triumph;TRIUMPH STREET TRIPLE STREET TRIPLE;https://scalethumb.leparking.fr/unsafe/331x248/smart/https://cloud.leparking-moto.fr/2021/10/23/14/01/triumph-street-triple-triumph-street-triple-blanc_159654788.jpg;.\images\triumph\street triple\triumph-street-triple-triumph-street-triple-blanc_159654788.jpg;Triumph;street triple;street triple;2012
https://www.leparking-moto.fr/moto-occasion/.html#!/moto-occasion/triumph.html;triumph;TRIUMPH STREET TRIPLE STREET TRIPLE RS;https://scalethumb.leparking.fr/unsafe/331x248/smart/https://cloud.leparking-moto.fr/2021/09/17/19/02/triumph-street-triple-street-triple-rs-blanc_157752057.jpg;.\images\triumph\street triple rs\triumph-street-triple-street-triple-rs-blanc_157752057.jpg;Triumph;street triple rs;street triple rs;2019
https://www.leparking-moto.fr/moto-occasion/.html#!/moto-occasion/triumph.html;triumph;TRIUMPH SPEED TRIPLE SPEED TRIPLE 1050;https://scalethumb.leparking.fr/unsafe/331x248/smart/https://cloud.leparking-moto.fr/2021/07/24/19/02/triumph-speed-triple-triumph-speed-triple-1050-rouge_154693391.jpg;.\images\triumph\speed triple\triumph-speed-triple-triumph-speed-triple-1050-rouge_154693391.jpg;Triumph;speed triple;speed triple 1050;2011
https://www.leparking-moto.fr/moto-occasion/.html#!/moto-occasion/triumph.html;triumph;TRIUMPH DAYTONA ;https://scalethumb.leparking.fr/unsafe/331x248/smart/https://cloud.leparking-moto.fr/2021/10/28/01/05/triumph-daytona-600-triumph-daytona-de-2004-gris_159895866.jpg;.\images\triumph\daytona\triumph-daytona-600-triumph-daytona-de-2004-gris_159895866.jpg;Triumph;daytona;daytona;2004
https://www.leparking-moto.fr/moto-occasion/.html#!/moto-occasion/triumph.html;triumph;TRIUMPH BONNEVILLE BONNEVILLE T100;https://scalethumb.leparking.fr/unsafe/331x248/smart/https://cloud.leparking-moto.fr/2021/10/30/11/02/triumph-bonneville-triumph-bonneville-t100-noir_160023150.jpg;.\images\triumph\bonneville t\triumph-bonneville-triumph-bonneville-t100-noir_160023150.jpg;Triumph;bonneville t;bonneville t100;2018
https://www.leparking-moto.fr/moto-occasion/.html#!/moto-occasion/triumph.html;triumph;TRIUMPH STREET TRIPLE STREET TRIPLE RS;https://scalethumb.leparking.fr/unsafe/331x248/smart/https://cloud.leparking-moto.fr/2021/10/25/11/02/triumph-street-triple-triumph-street-triple-rs-blanche-2019-blanc_159756208.jpg;.\images\triumph\street triple rs\triumph-street-triple-triumph-street-triple-rs-blanche-2019-blanc_159756208.jpg;Triumph;street triple rs;street triple rs;2019
https://www.leparking-moto.fr/moto-occasion/.html#!/moto-occasion/triumph.html;triumph;TRIUMPH SPRINT SPRINT ST1050;https://scalethumb.leparking.fr/unsafe/331x248/smart/https://cloud.leparking-moto.fr/2021/09/27/05/01/triumph-sprint-triumph-1050-sprint-st-noir_158234637.jpg;.\images\triumph\sprint st\triumph-sprint-triumph-1050-sprint-st-noir_158234637.jpg;Triumph;sprint st;sprint st1050;2010
